微信支付账单明细,,,,,,,,
微信昵称：[Carlo17301],,,,,,,,
起始时间：[2022-01-01 00:00:00] 终止时间：[2022-04-01 23:59:59],,,,,,,,
导出类型：[全部],,,,,,,,
导出时间：[2025-06-25 16:49:47],,,,,,,,
,,,,,,,,
共18笔记录,,,,,,,,
收入：10笔 1343.45元,,,,,,,,
支出：8笔 1359.42元,,,,,,,,
中性交易：0笔 0.00元,,,,,,,,
注：,,,,,,,,
1. 充值/提现/理财通购买/零钱通存取/信用卡还款等交易，将计入中性交易,,,,,,,,
2. 本明细仅展示当前账单中的交易，不包括已删除的记录,,,,,,,,
3. 本明细仅供个人对账使用,,,,,,,,
,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2022-03-14 20:02:03,"转账","柿柿如意","转账备注:房租","支出",¥850.00,"零钱","对方已收钱","100005000122031400070131224755577551"	,"1000050001202203141719321356739"	,"/"
2022-03-14 20:01:42,"转账","Hui","转账备注:微信转账","收入",¥850.00,"/","已存入零钱","1000050001202203141818915371611"	,"/"	,"/"
2022-03-09 14:22:21,"转账","柿柿如意","转账备注:押金","支出",¥200.00,"零钱","对方已收钱","100005000122030900070133356312285551"	,"1000050001202203091117218373989"	,"/"
2022-03-09 14:21:49,"转账","Hui","转账备注:微信转账","收入",¥200.00,"/","已存入零钱","1000050001202203090316203309870"	,"/"	,"/"
2022-03-07 22:13:45,"微信红包（单发）","发给Hui","/","支出",¥200.00,"零钱","支付成功","100003990122030700070132746379098551"	,"1000039901202203076357658590087"	,"/"
2022-03-06 18:34:36,"微信红包","Hui","/","收入",¥200.00,"/","已存入零钱","1000039901000203066174403524109"	,"1000039901202203066174403524109"	,"/"
2022-03-05 21:08:28,"微信红包","施蓝","/","收入",¥0.01,"/","已存入零钱","1800008912069203057045661163041"	,"1800008912202203057045661163041"	,"/"
2022-03-04 21:43:05,"微信红包","施蓝","/","收入",¥0.01,"/","已存入零钱","1800008912033203047362100414145"	,"1800008912202203047362100414145"	,"/"
2022-03-03 15:00:18,"微信红包","好像欠你一个未来","/","收入",¥0.01,"/","已存入零钱","1000039901011203036351644976135"	,"1000039901202203036351644976135"	,"/"
2022-01-23 13:31:46,"微信红包（单发）","发给Hui","/","支出",¥45.00,"零钱","支付成功","100003990122012300073131971757286551"	,"1000039901202201236007208489447"	,"/"
2022-01-23 10:05:24,"微信红包","且行且珍惜。","/","收入",¥1.66,"/","已存入零钱","1000039901000201237164035002213"	,"1000039901202201237164035002213"	,"/"
2022-01-23 10:05:20,"微信红包","且行且珍惜。","/","收入",¥1.88,"/","已存入零钱","1000039901000201237286009076262"	,"1000039901202201237286009076262"	,"/"
2022-01-23 10:05:16,"微信红包","且行且珍惜。","/","收入",¥1.88,"/","已存入零钱","1000039901000201237271711328473"	,"1000039901202201237271711328473"	,"/"
2022-01-22 23:05:07,"微信红包（单发）","发给且行且珍惜。","/","支出",¥16.66,"零钱","支付成功","100003990122012200073132371308865551"	,"1000039901202201226178851921218"	,"/"
2022-01-22 23:04:57,"微信红包（单发）","发给且行且珍惜。","/","支出",¥18.88,"零钱","支付成功","100003990122012200073132271347014551"	,"1000039901202201226388863551433"	,"/"
2022-01-22 23:04:46,"微信红包（单发）","发给且行且珍惜。","/","支出",¥18.88,"零钱","支付成功","100003990122012200073131971355876551"	,"1000039901202201226147217944373"	,"/"
2022-01-22 23:04:32,"微信红包","Hui","/","收入",¥88.00,"/","已存入零钱","1000039901000201226206547464473"	,"1000039901202201226206547464473"	,"/"
2022-01-16 10:27:28,"微信红包（单发）","发给Hui","/","支出",¥10.00,"零钱","支付成功","100003990122011600073131854454184551"	,"1000039901202201166138551613827"	,"/"
